NOM_X, NOM_Y, NOM_Z,ACT_X,ACT_Y,ACT_Z, NOM_I, NOM_J, NOM_K,ACT_I, ACT_J, ACT_K,MAT
17.00000, 124.00000, 0.00000,17.00000,124.00000,0.58364, 0.00000, 0.00000, 1.00000,0.00000, -0.00801, 0.99997,0.58364
17.00000, 121.98374, 0.00000,17.00000,121.98374,0.56522, 0.00000, 0.00000, 1.00000,0.00000, -0.00849, 0.99996,0.56522
17.00000, 119.96748, 0.00000,17.00000,119.96748,0.54723, 0.00000, 0.00000, 1.00000,0.00000, -0.00915, 0.99996,0.54723
17.00000, 117.95122, 0.00000,17.00000,117.95122,0.52970, 0.00000, 0.00000, 1.00000,0.00000, -0.00867, 0.99996,0.52970
17.00000, 115.93496, 0.00000,17.00000,115.93496,0.51193, 0.00000, 0.00000, 1.00000,0.00000, -0.00881, 0.99996,0.51193
17.00000, 113.91870, 0.00000,17.00000,113.91870,0.49388, 0.00000, 0.00000, 1.00000,0.00000, -0.00919, 0.99996,0.49388
17.00000, 111.90244, 0.00000,17.00000,111.90244,0.47563, 0.00000, 0.00000, 1.00000,0.00000, -0.00872, 0.99996,0.47563
17.00000, 109.88618, 0.00000,17.00000,109.88618,0.45821, 0.00000, 0.00000, 1.00000,0.00000, -0.00874, 0.99996,0.45821
17.00000, 107.86992, 0.00000,17.00000,107.86992,0.44044, 0.00000, 0.00000, 1.00000,0.00000, -0.00886, 0.99996,0.44044
17.00000, 105.85366, 0.00000,17.00000,105.85366,0.42244, 0.00000, 0.00000, 1.00000,0.00000, -0.00891, 0.99996,0.42244
17.00000, 103.83740, 0.00000,17.00000,103.83740,0.40505, 0.00000, 0.00000, 1.00000,0.00000, -0.00857, 0.99996,0.40505
17.00000, 101.82114, 0.00000,17.00000,101.82114,0.38671, 0.00000, 0.00000, 1.00000,0.00000, -0.00914, 0.99996,0.38671
17.00000, 99.80488, 0.00000,17.00000,99.80488,0.36935, 0.00000, 0.00000, 1.00000,0.00000, -0.00869, 0.99996,0.36935
17.00000, 97.78862, 0.00000,17.00000,97.78862,0.35095, 0.00000, 0.00000, 1.00000,0.00000, -0.00909, 0.99996,0.35095
17.00000, 95.77236, 0.00000,17.00000,95.77236,0.33311, 0.00000, 0.00000, 1.00000,0.00000, -0.00883, 0.99996,0.33311
17.00000, 93.75610, 0.00000,17.00000,93.75610,0.31517, 0.00000, 0.00000, 1.00000,0.00000, -0.00885, 0.99996,0.31517
17.00000, 91.73984, 0.00000,17.00000,91.73984,0.29749, 0.00000, 0.00000, 1.00000,0.00000, -0.00875, 0.99996,0.29749
17.00000, 89.72358, 0.00000,17.00000,89.72358,0.27978, 0.00000, 0.00000, 1.00000,0.00000, -0.00878, 0.99996,0.27978
17.00000, 87.70732, 0.00000,17.00000,87.70732,0.26212, 0.00000, 0.00000, 1.00000,0.00000, -0.00885, 0.99996,0.26212
17.00000, 85.69106, 0.00000,17.00000,85.69106,0.24403, 0.00000, 0.00000, 1.00000,0.00000, -0.00892, 0.99996,0.24403
17.00000, 83.67480, 0.00000,17.00000,83.67480,0.22633, 0.00000, 0.00000, 1.00000,0.00000, -0.00877, 0.99996,0.22633
17.00000, 81.65854, 0.00000,17.00000,81.65854,0.20850, 0.00000, 0.00000, 1.00000,0.00000, -0.00883, 0.99996,0.20850
17.00000, 79.64228, 0.00000,17.00000,79.64228,0.19083, 0.00000, 0.00000, 1.00000,0.00000, -0.00877, 0.99996,0.19083
17.00000, 77.62602, 0.00000,17.00000,77.62602,0.17306, 0.00000, 0.00000, 1.00000,0.00000, -0.00883, 0.99996,0.17306
17.00000, 75.60976, 0.00000,17.00000,75.60976,0.15545, 0.00000, 0.00000, 1.00000,0.00000, -0.00858, 0.99996,0.15545
17.00000, 73.59350, 0.00000,17.00000,73.59350,0.13791, 0.00000, 0.00000, 1.00000,0.00000, -0.00903, 0.99996,0.13791
17.00000, 71.57724, 0.00000,17.00000,71.57724,0.11970, 0.00000, 0.00000, 1.00000,0.00000, -0.00874, 0.99996,0.11970
17.00000, 69.56098, 0.00000,17.00000,69.56098,0.10217, 0.00000, 0.00000, 1.00000,0.00000, -0.00889, 0.99996,0.10217
17.00000, 67.54472, 0.00000,17.00000,67.54472,0.08434, 0.00000, 0.00000, 1.00000,0.00000, -0.00864, 0.99996,0.08434
17.00000, 65.52846, 0.00000,17.00000,65.52846,0.06656, 0.00000, 0.00000, 1.00000,0.00000, -0.00913, 0.99996,0.06656
17.00000, 63.51220, 0.00000,17.00000,63.51220,0.04855, 0.00000, 0.00000, 1.00000,0.00000, -0.00857, 0.99996,0.04855
17.00000, 61.49593, 0.00000,17.00000,61.49593,0.03123, 0.00000, 0.00000, 1.00000,0.00000, -0.00875, 0.99996,0.03123
17.00000, 59.47967, 0.00000,17.00000,59.47967,0.01353, 0.00000, 0.00000, 1.00000,0.00000, -0.00876, 0.99996,0.01353
17.00000, 57.46341, 0.00000,17.00000,57.46341,-0.00416, 0.00000, 0.00000, 1.00000,0.00000, -0.00880, 0.99996,-0.00416
17.00000, 55.44715, 0.00000,17.00000,55.44715,-0.02199, 0.00000, 0.00000, 1.00000,0.00000, -0.00884, 0.99996,-0.02199
17.00000, 53.43089, 0.00000,17.00000,53.43089,-0.03955, 0.00000, 0.00000, 1.00000,0.00000, -0.00865, 0.99996,-0.03955
17.00000, 51.41463, 0.00000,17.00000,51.41463,-0.05760, 0.00000, 0.00000, 1.00000,0.00000, -0.00913, 0.99996,-0.05760
17.00000, 49.39837, 0.00000,17.00000,49.39837,-0.07497, 0.00000, 0.00000, 1.00000,0.00000, -0.00819, 0.99997,-0.07497
17.00000, 47.38211, 0.00000,17.00000,47.38211,-0.09240, 0.00000, 0.00000, 1.00000,0.00000, -0.00909, 0.99996,-0.09240
17.00000, 45.36585, 0.00000,17.00000,45.36585,-0.11039, 0.00000, 0.00000, 1.00000,0.00000, -0.00867, 0.99996,-0.11039
17.00000, 43.34959, 0.00000,17.00000,43.34959,-0.12768, 0.00000, 0.00000, 1.00000,0.00000, -0.00860, 0.99996,-0.12768
17.00000, 41.33333, 0.00000,17.00000,41.33333,-0.14536, 0.00000, 0.00000, 1.00000,0.00000, -0.00881, 0.99996,-0.14536
17.00000, 39.31707, 0.00000,17.00000,39.31707,-0.16280, 0.00000, 0.00000, 1.00000,0.00000, -0.00867, 0.99996,-0.16280
17.00000, 37.30081, 0.00000,17.00000,37.30081,-0.18086, 0.00000, 0.00000, 1.00000,0.00000, -0.00904, 0.99996,-0.18086
17.00000, 35.28455, 0.00000,17.00000,35.28455,-0.19844, 0.00000, 0.00000, 1.00000,0.00000, -0.00844, 0.99996,-0.19844
17.00000, 33.26829, 0.00000,17.00000,33.26829,-0.21615, 0.00000, 0.00000, 1.00000,0.00000, -0.00947, 0.99996,-0.21615
17.00000, 31.25203, 0.00000,17.00000,31.25203,-0.23404, 0.00000, 0.00000, 1.00000,0.00000, -0.00840, 0.99996,-0.23404
17.00000, 29.23577, 0.00000,17.00000,29.23577,-0.25141, 0.00000, 0.00000, 1.00000,0.00000, -0.00885, 0.99996,-0.25141
17.00000, 27.21951, 0.00000,17.00000,27.21951,-0.26942, 0.00000, 0.00000, 1.00000,0.00000, -0.00883, 0.99996,-0.26942
17.00000, 25.20325, 0.00000,17.00000,25.20325,-0.28678, 0.00000, 0.00000, 1.00000,0.00000, -0.00869, 0.99996,-0.28678
17.00000, 23.18699, 0.00000,17.00000,23.18699,-0.30429, 0.00000, 0.00000, 1.00000,0.00000, -0.00847, 0.99996,-0.30429
17.00000, 21.17073, 0.00000,17.00000,21.17073,-0.32188, 0.00000, 0.00000, 1.00000,0.00000, -0.00903, 0.99996,-0.32188
17.00000, 19.15447, 0.00000,17.00000,19.15447,-0.33964, 0.00000, 0.00000, 1.00000,0.00000, -0.00866, 0.99996,-0.33964
17.00000, 17.13821, 0.00000,17.00000,17.13821,-0.35734, 0.00000, 0.00000, 1.00000,0.00000, -0.00880, 0.99996,-0.35734
17.00000, 15.12195, 0.00000,17.00000,15.12195,-0.37499, 0.00000, 0.00000, 1.00000,0.00000, -0.00874, 0.99996,-0.37499
17.00000, 13.10569, 0.00000,17.00000,13.10569,-0.39270, 0.00000, 0.00000, 1.00000,0.00000, -0.00881, 0.99996,-0.39270
17.00000, 11.08943, 0.00000,17.00000,11.08943,-0.41019, 0.00000, 0.00000, 1.00000,0.00000, -0.00856, 0.99996,-0.41019
17.00000, 9.07317, 0.00000,17.00000,9.07317,-0.42758, 0.00000, 0.00000, 1.00000,0.00000, -0.00875, 0.99996,-0.42758
17.00000, 7.05691, 0.00000,17.00000,7.05691,-0.44541, 0.00000, 0.00000, 1.00000,0.00000, -0.00882, 0.99996,-0.44541
17.00000, 5.04065, 0.00000,17.00000,5.04065,-0.46342, 0.00000, 0.00000, 1.00000,0.00000, -0.00914, 0.99996,-0.46342
17.00000, 3.02439, 0.00000,17.00000,3.02439,-0.48076, 0.00000, 0.00000, 1.00000,0.00000, -0.00773, 0.99997,-0.48076
17.00000, 1.00000, 0.00000,17.00000,1.00000,-0.49465, 0.00000, 0.00000, 1.00000,0.00000, -0.00517, 0.99999,-0.49465
